question,model,votes,percentage
Which summary is more representative of your perspective?,gemini-2.5-pro,287,20.632638389647738
Which summary is more representative of your perspective?,qwen3-32b,273,19.626168224299064
Which summary is more representative of your perspective?,web-rev-claude-opus-4-20250514,325,23.364485981308412
Which summary is more representative of your perspective?,gpt-5,273,19.626168224299064
Which summary is more representative of your perspective?,deepseek-chat,233,16.750539180445724
Which summary is more informative?,gemini-2.5-pro,264,18.979151689432065
Which summary is more informative?,qwen3-32b,258,18.54780733285406
Which summary is more informative?,gpt-5,329,23.65204888569375
Which summary is more informative?,web-rev-claude-opus-4-20250514,385,27.677929547088425
Which summary is more informative?,deepseek-chat,155,11.143062544931704
Which summary presents a more neutral and balanced view of the issue?,gemini-2.5-pro,266,19.12293314162473
Which summary presents a more neutral and balanced view of the issue?,qwen3-32b,286,20.5607476635514
Which summary presents a more neutral and balanced view of the issue?,deepseek-chat,241,17.325664989216392
Which summary presents a more neutral and balanced view of the issue?,gpt-5,275,19.769949676491734
Which summary presents a more neutral and balanced view of the issue?,web-rev-claude-opus-4-20250514,323,23.220704529115743
Which summary would you prefer of being used by the policy makers to make decisions relevant to the issue?,gemini-2.5-pro,279,20.057512580877066
Which summary would you prefer of being used by the policy makers to make decisions relevant to the issue?,qwen3-32b,262,18.835370237239395
Which summary would you prefer of being used by the policy makers to make decisions relevant to the issue?,gpt-5,302,21.71099928109274
Which summary would you prefer of being used by the policy makers to make decisions relevant to the issue?,deepseek-chat,203,14.593817397555714
Which summary would you prefer of being used by the policy makers to make decisions relevant to the issue?,web-rev-claude-opus-4-20250514,345,24.802300503235085
