ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences. (text),Full Response Metadata (JSON)
9192,mf2q3zt8-1v7yq7,no-vote,"Yes, I think government based healthcare is the best way to provide healthcare. It is obvious that the open market is not able to provide for the social good, economic good or even provide good healthcare left to its own devices. Right now, it is entirely to problematic that people cannot get healthcare, there is little access to healthcrea nd healthcare is wildly expensive. We have nothing to show for it either, we have little good outcomes. ",2025-09-02T15:48:54.775554+00:00,False,,,,public,,,2025-09-02T15:48:53.900Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=66d3274252d61ef65f0cc099&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b7110babd44a9d7f17045e,Page 1: 15:47:25; Page 2: 15:48:52,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"Yes, I think government based healthcare is the best way to provide healthcare. It is obvious that the open market is not able to provide for the social good, economic good or even provide good healthcare left to its own devices. Right now, it is entirely to problematic that people cannot get healthcare, there is little access to healthcrea nd healthcare is wildly expensive. We have nothing to show for it either, we have little good outcomes. ","{""_session_id"": ""mf2q23s7-r0u7c1"", ""_page_visits"": {""0"": ""2025-09-02T15:47:25.906Z"", ""1"": ""2025-09-02T15:48:52.225Z""}, ""_submitted_at"": ""2025-09-02T15:48:54.775169"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:48:53.900Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=66d3274252d61ef65f0cc099&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b7110babd44a9d7f17045e"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, I think government based healthcare is the best way to provide healthcare. It is obvious that the open market is not able to provide for the social good, economic good or even provide good healthcare left to its own devices. Right now, it is entirely to problematic that people cannot get healthcare, there is little access to healthcrea nd healthcare is wildly expensive. We have nothing to show for it either, we have little good outcomes. ""}"
9177,mf2ppo0q-nqq0ig,no-vote,"I believe the government should pay basic insurance to help people stay healthy, A multitude people are either out of work and cannot afford to pay for insurance. Other countries take care of their people Why the US don’t?",2025-09-02T15:37:46.301024+00:00,False,,,,public,,,2025-09-02T15:37:45.442Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70da0369f62bd00e67186,Page 1: 15:34:52; Page 2: 15:37:40,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"I believe the government should pay basic insurance to help people stay healthy, A multitude people are either out of work and cannot afford to pay for insurance. Other countries take care of their people Why the US don’t?","{""_session_id"": ""mf2plyaa-8s3ygh"", ""_page_visits"": {""0"": ""2025-09-02T15:34:52.245Z"", ""1"": ""2025-09-02T15:37:40.146Z""}, ""_submitted_at"": ""2025-09-02T15:37:46.300662"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:45.442Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70da0369f62bd00e67186"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I believe the government should pay basic insurance to help people stay healthy, A multitude people are either out of work and cannot afford to pay for insurance. Other countries take care of their people Why the US don\u2019t?""}"
9175,mf2ppcji-j544g8,no-vote,"Yes I do because I believe health insurance should be a right not a luxury, not everyone can pay insurance but everyone need it at some point in their lives so I think everyone should have the right to have insurance ",2025-09-02T15:37:30.806034+00:00,False,,,,public,,,2025-09-02T15:37:30.558Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=60fce68245a71b6cf578c52d&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70ef677f44647e30fd2c9,Page 1: 15:36:33; Page 2: 15:37:28,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"Yes I do because I believe health insurance should be a right not a luxury, not everyone can pay insurance but everyone need it at some point in their lives so I think everyone should have the right to have insurance ","{""_session_id"": ""mf2po4aw-1823ge"", ""_page_visits"": {""0"": ""2025-09-02T15:36:33.336Z"", ""1"": ""2025-09-02T15:37:28.600Z""}, ""_submitted_at"": ""2025-09-02T15:37:30.805058"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:30.558Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=60fce68245a71b6cf578c52d&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70ef677f44647e30fd2c9"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes I do because I believe health insurance should be a right not a luxury, not everyone can pay insurance but everyone need it at some point in their lives so I think everyone should have the right to have insurance ""}"
9155,mf2ple2x-9qir5h,no-vote,"Yes. I believe that it's part of the purpose of government to care for its citizens' safety and happiness, which includes having a healthy population. It's also cheaper for the people as a whole than private care.",2025-09-02T15:34:25.497567+00:00,False,,,,public,,,2025-09-02T15:34:25.929Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=63d811906590fb193288cf36&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70e44b2f6fe1f8cf485e0,Page 1: 15:33:37; Page 2: 15:34:24,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"Yes. I believe that it's part of the purpose of government to care for its citizens' safety and happiness, which includes having a healthy population. It's also cheaper for the people as a whole than private care.","{""_session_id"": ""mf2pkcfi-f4jrm6"", ""_page_visits"": {""0"": ""2025-09-02T15:33:37.189Z"", ""1"": ""2025-09-02T15:34:24.719Z""}, ""_submitted_at"": ""2025-09-02T15:34:25.496617"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:25.929Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=63d811906590fb193288cf36&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70e44b2f6fe1f8cf485e0"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes. I believe that it's part of the purpose of government to care for its citizens' safety and happiness, which includes having a healthy population. It's also cheaper for the people as a whole than private care.""}"
9152,mf2pl0pr-iighex,no-vote,I do support that. I find that everyone should be able to get the help they need without having to worry about paying for it. People should not die because they can not afford it.,2025-09-02T15:34:08.807612+00:00,False,,,,public,,,2025-09-02T15:34:08.607Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=65cb708afe5755feaeec417f&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70e3820a1aec9dc27d08a,Page 1: 15:33:20; Page 2: 15:34:07,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,I do support that. I find that everyone should be able to get the help they need without having to worry about paying for it. People should not die because they can not afford it.,"{""_session_id"": ""mf2pjz8n-a1b6l2"", ""_page_visits"": {""0"": ""2025-09-02T15:33:20.390Z"", ""1"": ""2025-09-02T15:34:07.337Z""}, ""_submitted_at"": ""2025-09-02T15:34:08.806786"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:08.607Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=65cb708afe5755feaeec417f&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b70e3820a1aec9dc27d08a"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I do support that. I find that everyone should be able to get the help they need without having to worry about paying for it. People should not die because they can not afford it.""}"
9131,mf2m8ku4-pwm3n5,no-vote,"I do support it because it would force everyone to opt in and make the system cheaper and more efficient because of it, and most other countries have already done it and they seem to be getting along just fine.",2025-09-02T14:00:25.331972+00:00,False,,,,public,,,2025-09-02T14:00:29.309Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6f7d4038875b07e626880,Page 1: 13:57:54; Page 2: 14:00:20,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"I do support it because it would force everyone to opt in and make the system cheaper and more efficient because of it, and most other countries have already done it and they seem to be getting along just fine.","{""_session_id"": ""mf2m58yu-amf16b"", ""_page_visits"": {""0"": ""2025-09-02T13:57:54.125Z"", ""1"": ""2025-09-02T14:00:20.306Z""}, ""_submitted_at"": ""2025-09-02T14:00:25.331301"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T14:00:29.309Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6f7d4038875b07e626880"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I do support it because it would force everyone to opt in and make the system cheaper and more efficient because of it, and most other countries have already done it and they seem to be getting along just fine.""}"
9123,mf2iz6s3-4oh8yk,no-vote,"Yes, this will go a long way in providing basic but important health care to the poor citizens of the country.",2025-09-02T12:29:14.439725+00:00,False,,,,public,,,2025-09-02T12:29:12.339Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6e23b67b79db5e4fb140c,Page 1: 12:28:08; Page 2: 12:29:10,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"Yes, this will go a long way in providing basic but important health care to the poor citizens of the country.","{""_session_id"": ""mf2ixs5s-k9ig3d"", ""_page_visits"": {""0"": ""2025-09-02T12:28:08.339Z"", ""1"": ""2025-09-02T12:29:10.511Z""}, ""_submitted_at"": ""2025-09-02T12:29:14.439334"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T12:29:12.339Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6e23b67b79db5e4fb140c"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, this will go a long way in providing basic but important health care to the poor citizens of the country.""}"
9115,mf2h5ydr-6nuc4r,no-vote,"Yes, I think that more people who suffer from autoimmune issues would be diagnosed and stopped suffering. I think healthcare should be similar to canadas healthcare but faster.",2025-09-02T11:38:29.217385+00:00,False,,,,public,,,2025-09-02T11:38:28.816Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6d6d726046f17cbebb97b,Page 1: 11:37:23; Page 2: 11:38:27,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"Yes, I think that more people who suffer from autoimmune issues would be diagnosed and stopped suffering. I think healthcare should be similar to canadas healthcare but faster.","{""_session_id"": ""mf2h4k4e-5omkqa"", ""_page_visits"": {""0"": ""2025-09-02T11:37:23.780Z"", ""1"": ""2025-09-02T11:38:27.088Z""}, ""_submitted_at"": ""2025-09-02T11:38:29.217005"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:38:28.816Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b6d6d726046f17cbebb97b"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, I think that more people who suffer from autoimmune issues would be diagnosed and stopped suffering. I think healthcare should be similar to canadas healthcare but faster.""}"
9101,mf284n8c-kxr1rw,no-vote,"I fully support the US government providing universal health care. American workers will not be able to compete in the global economy if they fall sick and cannot obtain health care due to its current prohibitive expense. Bearing this in mind, health care is not only a human right, but a national security issue.",2025-09-02T07:25:31.781774+00:00,False,,,,public,,,2025-09-02T07:25:31.164Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=681ae0b6cf95dda70f860d9c&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b69adda277eabb666daea1,Page 1: 07:22:50; Page 2: 07:25:29,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,"I fully support the US government providing universal health care. American workers will not be able to compete in the global economy if they fall sick and cannot obtain health care due to its current prohibitive expense. Bearing this in mind, health care is not only a human right, but a national security issue.","{""_session_id"": ""mf28170z-cej5m7"", ""_page_visits"": {""0"": ""2025-09-02T07:22:50.361Z"", ""1"": ""2025-09-02T07:25:29.311Z""}, ""_submitted_at"": ""2025-09-02T07:25:31.781411"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T07:25:31.164Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=681ae0b6cf95dda70f860d9c&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b69adda277eabb666daea1"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I fully support the US government providing universal health care. American workers will not be able to compete in the global economy if they fall sick and cannot obtain health care due to its current prohibitive expense. Bearing this in mind, health care is not only a human right, but a national security issue.""}"
9091,mf25k799-92z3ql,no-vote,I’m in support of it as something the government provides but not if it’s the on choice. ,2025-09-02T06:13:38.654005+00:00,False,,,,public,,,2025-09-02T06:13:38.109Z,https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=66c2c06dce0419ad6b6f939d&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b68ac30b599ad1e3de5029,Page 1: 06:12:31; Page 2: 06:13:35,Do you support the government provide basic health insurance for everyone? Please answer briefly in 2–3 sentences.: Visible,I’m in support of it as something the government provides but not if it’s the on choice. ,"{""_session_id"": ""mf25is00-ylsw7o"", ""_page_visits"": {""0"": ""2025-09-02T06:12:31.811Z"", ""1"": ""2025-09-02T06:13:35.035Z""}, ""_submitted_at"": ""2025-09-02T06:13:38.653640"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government provide basic health insurance for everyone? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T06:13:38.109Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3761dbc5-31f6-4388-8a38-325642d1cc08?PROLIFIC_PID=66c2c06dce0419ad6b6f939d&STUDY_ID=68b5fa001d0264f75889dfb4&SESSION_ID=68b68ac30b599ad1e3de5029"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I\u2019m in support of it as something the government provides but not if it\u2019s the on choice. ""}"
