ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences. (text),Full Response Metadata (JSON)
9210,mf2qok21-0ylmx2,no-vote,"I am pretty conflicted, but I think overall I think its okay to accept refugees fleeing war or persecution. I know if I was in their shoes, I would want somewhere safe to go.",2025-09-02T16:04:53.327004+00:00,False,,,,public,,,2025-09-02T16:04:53.257Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=675a5ad39c319c39e7753011&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b7156453f89845d66b97b5,Page 1: 16:03:54; Page 2: 16:04:49,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"I am pretty conflicted, but I think overall I think its okay to accept refugees fleeing war or persecution. I know if I was in their shoes, I would want somewhere safe to go.","{""_session_id"": ""mf2qnaw7-n5gbph"", ""_page_visits"": {""0"": ""2025-09-02T16:03:54.841Z"", ""1"": ""2025-09-02T16:04:49.608Z""}, ""_submitted_at"": ""2025-09-02T16:04:53.326642"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T16:04:53.257Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=675a5ad39c319c39e7753011&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b7156453f89845d66b97b5"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I am pretty conflicted, but I think overall I think its okay to accept refugees fleeing war or persecution. I know if I was in their shoes, I would want somewhere safe to go.""}"
9199,mf2q6s5e-nt07qp,no-vote,Yes I support the US government accepting more refugees who are fleeing persecution that would result in harm including loss of life ,2025-09-02T15:51:04.146295+00:00,False,,,,public,,,2025-09-02T15:51:03.938Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=655e0ab46d231418eee63bd1&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b71229c095e9ad91960b77,Page 1: 15:50:12; Page 2: 15:51:01,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,Yes I support the US government accepting more refugees who are fleeing persecution that would result in harm including loss of life ,"{""_session_id"": ""mf2q5onh-gshhts"", ""_page_visits"": {""0"": ""2025-09-02T15:50:12.841Z"", ""1"": ""2025-09-02T15:51:01.036Z""}, ""_submitted_at"": ""2025-09-02T15:51:04.145949"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:51:03.938Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=655e0ab46d231418eee63bd1&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b71229c095e9ad91960b77"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes I support the US government accepting more refugees who are fleeing persecution that would result in harm including loss of life ""}"
9183,mf2pqxqh-rfcw7l,no-vote,"I do support the government accepting more refugees because they are people who didn’t choose to live that war, people who is trying to have a better life for them and their families",2025-09-02T15:38:44.967627+00:00,False,,,,public,,,2025-09-02T15:38:44.682Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=60fce68245a71b6cf578c52d&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70f4d8d3a1f793317d287,Page 1: 15:37:55; Page 2: 15:38:43,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"I do support the government accepting more refugees because they are people who didn’t choose to live that war, people who is trying to have a better life for them and their families","{""_session_id"": ""mf2ppvzb-x3vpkv"", ""_page_visits"": {""0"": ""2025-09-02T15:37:55.854Z"", ""1"": ""2025-09-02T15:38:43.800Z""}, ""_submitted_at"": ""2025-09-02T15:38:44.967273"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:38:44.682Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=60fce68245a71b6cf578c52d&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70f4d8d3a1f793317d287"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I do support the government accepting more refugees because they are people who didn\u2019t choose to live that war, people who is trying to have a better life for them and their families""}"
9180,mf2pq5yb-4qmvm3,no-vote,"I believe the government should accept refugees fleeing dangerous situations. However, the qualifications for what justifies refugee status should be thoroughly vetted. There should also be limits in place so that citizens do not experience negative effects on their quality of life.",2025-09-02T15:38:11.999853+00:00,False,,,,public,,,2025-09-02T15:38:08.676Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=628d14b52b5bd1d83ed1f7d2&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70ed740c5de20ddb2146d,Page 1: 15:35:56; Page 2: 15:38:05,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"I believe the government should accept refugees fleeing dangerous situations. However, the qualifications for what justifies refugee status should be thoroughly vetted. There should also be limits in place so that citizens do not experience negative effects on their quality of life.","{""_session_id"": ""mf2pnbke-15op79"", ""_page_visits"": {""0"": ""2025-09-02T15:35:56.098Z"", ""1"": ""2025-09-02T15:38:05.330Z""}, ""_submitted_at"": ""2025-09-02T15:38:11.999503"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:38:08.676Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=628d14b52b5bd1d83ed1f7d2&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70ed740c5de20ddb2146d"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I believe the government should accept refugees fleeing dangerous situations. However, the qualifications for what justifies refugee status should be thoroughly vetted. There should also be limits in place so that citizens do not experience negative effects on their quality of life.""}"
9179,mf2ppv9z-ek29c9,no-vote,"If america was a wealthy nation and could take care of refugees then I would say it's the right thing to do. However, america isn't rich, it has more debt than it can pay back and can't help it's own citizens. No, we shouldn't accept more refugees till we can take care of our own.",2025-09-02T15:37:55.183876+00:00,False,,,,public,,,2025-09-02T15:37:54.839Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=67b795fcea3a1dba350ab9b4&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70eed5d3d1ec2818829b3,Page 1: 15:36:24; Page 2: 15:37:51,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"If america was a wealthy nation and could take care of refugees then I would say it's the right thing to do. However, america isn't rich, it has more debt than it can pay back and can't help it's own citizens. No, we shouldn't accept more refugees till we can take care of our own.","{""_session_id"": ""mf2pnxpr-tmabku"", ""_page_visits"": {""0"": ""2025-09-02T15:36:24.882Z"", ""1"": ""2025-09-02T15:37:51.178Z""}, ""_submitted_at"": ""2025-09-02T15:37:55.183527"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:54.839Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=67b795fcea3a1dba350ab9b4&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70eed5d3d1ec2818829b3"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""If america was a wealthy nation and could take care of refugees then I would say it's the right thing to do. However, america isn't rich, it has more debt than it can pay back and can't help it's own citizens. No, we shouldn't accept more refugees till we can take care of our own.""}"
9174,mf2pp5cc-f483kx,no-vote,"I find that I do support the government doing this. The reason being is that why have an abundance of resources if you are not using it. I find that no matter, where you are born that you deserve kindness and deserve a good life and so accepting people that are looking to achieve that seems ideal to me.",2025-09-02T15:37:21.425880+00:00,False,,,,public,,,2025-09-02T15:37:21.229Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=65cb708afe5755feaeec417f&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70ee429ff2c9033462322,Page 1: 15:36:23; Page 2: 15:37:20,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"I find that I do support the government doing this. The reason being is that why have an abundance of resources if you are not using it. I find that no matter, where you are born that you deserve kindness and deserve a good life and so accepting people that are looking to achieve that seems ideal to me.","{""_session_id"": ""mf2pnwi4-85yl8a"", ""_page_visits"": {""0"": ""2025-09-02T15:36:23.398Z"", ""1"": ""2025-09-02T15:37:20.215Z""}, ""_submitted_at"": ""2025-09-02T15:37:21.425527"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:21.229Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=65cb708afe5755feaeec417f&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70ee429ff2c9033462322"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I find that I do support the government doing this. The reason being is that why have an abundance of resources if you are not using it. I find that no matter, where you are born that you deserve kindness and deserve a good life and so accepting people that are looking to achieve that seems ideal to me.""}"
9164,mf2pmah3-asxx0c,no-vote,"I do not support the immigration policy/refugee policy because it is taking away from average every day americans and increasing the strain on our systems and society. Many Americans who can use there resources are flat out denied whereas people who've come here illegally receive this aid and its bullshit to me,.",2025-09-02T15:35:08.441975+00:00,False,,,,public,,,2025-09-02T15:35:07.911Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=63fcf26a814570a76bcf2237&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70e5bdd1516ee5de9e9e8,Page 1: 15:33:54; Page 2: 15:35:04,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"I do not support the immigration policy/refugee policy because it is taking away from average every day americans and increasing the strain on our systems and society. Many Americans who can use there resources are flat out denied whereas people who've come here illegally receive this aid and its bullshit to me,.","{""_session_id"": ""mf2pkpkk-gfplt8"", ""_page_visits"": {""0"": ""2025-09-02T15:33:54.290Z"", ""1"": ""2025-09-02T15:35:04.598Z""}, ""_submitted_at"": ""2025-09-02T15:35:08.440990"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:35:07.911Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=63fcf26a814570a76bcf2237&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b70e5bdd1516ee5de9e9e8"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I do not support the immigration policy/refugee policy because it is taking away from average every day americans and increasing the strain on our systems and society. Many Americans who can use there resources are flat out denied whereas people who've come here illegally receive this aid and its bullshit to me,.""}"
9125,mf2j49xj-69o3rh,no-vote,Yes i do. But i think there should be more vetting of these refugees and education on rules of the society and how to intergrate into American Society.,2025-09-02T12:33:10.598498+00:00,False,,,,public,,,2025-09-02T12:33:09.704Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b6e3bc45fc4affcbb451e6,Page 1: 12:32:04; Page 2: 12:33:07,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,Yes i do. But i think there should be more vetting of these refugees and education on rules of the society and how to intergrate into American Society.,"{""_session_id"": ""mf2j2vgl-cvswar"", ""_page_visits"": {""0"": ""2025-09-02T12:32:04.775Z"", ""1"": ""2025-09-02T12:33:07.474Z""}, ""_submitted_at"": ""2025-09-02T12:33:10.598115"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T12:33:09.704Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b6e3bc45fc4affcbb451e6"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes i do. But i think there should be more vetting of these refugees and education on rules of the society and how to intergrate into American Society.""}"
9118,mf2hdckf-0dit2d,no-vote,"Yes, innocent children and parents are being killed. Every life matters. ",2025-09-02T11:44:14.199837+00:00,False,,,,public,,,2025-09-02T11:44:13.792Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b6d81813c25ffaf5db1dab,Page 1: 11:43:03; Page 2: 11:44:12,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,"Yes, innocent children and parents are being killed. Every life matters. ","{""_session_id"": ""mf2hbude-d15g3x"", ""_page_visits"": {""0"": ""2025-09-02T11:43:03.657Z"", ""1"": ""2025-09-02T11:44:12.099Z""}, ""_submitted_at"": ""2025-09-02T11:44:14.199449"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:44:13.792Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b6d81813c25ffaf5db1dab"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, innocent children and parents are being killed. Every life matters. ""}"
9067,mf23tgft-36kbge,no-vote,No because most of the time they tend to increase in number with time which in turn impacts the government expenditure on them. The government needs to cater for the social needs and share resources with them.,2025-09-02T05:24:56.782880+00:00,False,,,,public,,,2025-09-02T05:24:50.681Z,https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=678c89e7d72ecd785f475dfd&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b67ee9ff4d9aefdaf02035,Page 1: 05:21:52; Page 2: 05:24:43,Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2–3 sentences.: Visible,No because most of the time they tend to increase in number with time which in turn impacts the government expenditure on them. The government needs to cater for the social needs and share resources with them.,"{""_session_id"": ""mf23pmpg-c01tvm"", ""_page_visits"": {""0"": ""2025-09-02T05:21:52.631Z"", ""1"": ""2025-09-02T05:24:43.444Z""}, ""_submitted_at"": ""2025-09-02T05:24:56.782534"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government accepting more refugees fleeing war or persecution? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T05:24:50.681Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3080e9a9-4356-4a2e-bc82-28a78ae1c4ca?PROLIFIC_PID=678c89e7d72ecd785f475dfd&STUDY_ID=68b5f815ad589f19e651b606&SESSION_ID=68b67ee9ff4d9aefdaf02035"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""No because most of the time they tend to increase in number with time which in turn impacts the government expenditure on them. The government needs to cater for the social needs and share resources with them.""}"
