ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences. (text),Full Response Metadata (JSON)
9205,mf2qh2k1-8uskva,no-vote,I do not. I think that people can be highly encouraged but I do not think they should enforce them as some people have different beliefs.,2025-09-02T15:59:04.026429+00:00,False,,,,public,,,2025-09-02T15:59:03.986Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=5a9493ce873cda0001dc6dfb&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b7140f2f686d6ba4081a57,Page 1: 15:58:17; Page 2: 15:59:01,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,I do not. I think that people can be highly encouraged but I do not think they should enforce them as some people have different beliefs.,"{""_session_id"": ""mf2qg2dm-eshdnj"", ""_page_visits"": {""0"": ""2025-09-02T15:58:17.141Z"", ""1"": ""2025-09-02T15:59:01.728Z""}, ""_submitted_at"": ""2025-09-02T15:59:04.026021"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:59:03.986Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=5a9493ce873cda0001dc6dfb&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b7140f2f686d6ba4081a57"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I do not. I think that people can be highly encouraged but I do not think they should enforce them as some people have different beliefs.""}"
9202,mf2qb1yv-rrmg6e,no-vote,no because people still going do what they want do so no point.,2025-09-02T15:54:23.573199+00:00,False,,,,public,,,2025-09-02T15:54:23.287Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=613589ac6333693e1927fa76&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b712da12b43decfb259e20,Page 1: 15:53:11; Page 2: 15:54:04,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,no because people still going do what they want do so no point.,"{""_session_id"": ""mf2q9inb-956uea"", ""_page_visits"": {""0"": ""2025-09-02T15:53:11.725Z"", ""1"": ""2025-09-02T15:54:04.742Z""}, ""_submitted_at"": ""2025-09-02T15:54:23.572835"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:54:23.287Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=613589ac6333693e1927fa76&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b712da12b43decfb259e20"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""no because people still going do what they want do so no point.""}"
9189,mf2q03fq-tzjzn9,no-vote,I support quarantine and vaccination enforcement because it is the best way to ensure public health and prevent the spread of disease.  ,2025-09-02T15:45:52.586370+00:00,False,,,,public,,,2025-09-02T15:45:51.975Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=54847f1cfdf99b07b28f22f9&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b710d4a11bd7b3b2582221,Page 1: 15:44:30; Page 2: 15:45:49,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,I support quarantine and vaccination enforcement because it is the best way to ensure public health and prevent the spread of disease.  ,"{""_session_id"": ""mf2pycio-bvusgg"", ""_page_visits"": {""0"": ""2025-09-02T15:44:30.594Z"", ""1"": ""2025-09-02T15:45:49.661Z""}, ""_submitted_at"": ""2025-09-02T15:45:52.585979"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:45:51.975Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=54847f1cfdf99b07b28f22f9&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b710d4a11bd7b3b2582221"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I support quarantine and vaccination enforcement because it is the best way to ensure public health and prevent the spread of disease.  ""}"
9188,mf2pwswo-37y8ns,no-vote,"yes, having just went through a pandemic, not being vacinatted really affected everything.  It slowed down how were able to live our lives.  ",2025-09-02T15:43:19.377434+00:00,False,,,,public,,,2025-09-02T15:43:18.360Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=60778db7ed3bae21972be1b4&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b7105057adf78957b23944,Page 1: 15:42:20; Page 2: 15:43:10,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,"yes, having just went through a pandemic, not being vacinatted really affected everything.  It slowed down how were able to live our lives.  ","{""_session_id"": ""mf2pvjxg-u6mfxy"", ""_page_visits"": {""0"": ""2025-09-02T15:42:20.223Z"", ""1"": ""2025-09-02T15:43:10.225Z""}, ""_submitted_at"": ""2025-09-02T15:43:19.376883"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:43:18.360Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=60778db7ed3bae21972be1b4&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b7105057adf78957b23944"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""yes, having just went through a pandemic, not being vacinatted really affected everything.  It slowed down how were able to live our lives.  ""}"
9178,mf2ppi98-ymdqlk,no-vote,i support the government because that is the best way to prevent pandemics from spreading ,2025-09-02T15:37:48.170710+00:00,False,,,,public,,,2025-09-02T15:37:37.965Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=6785f0d3adcf1ffc11119d0e&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70eeab600f26733960a6d,Page 1: 15:36:15; Page 2: 15:37:35,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,i support the government because that is the best way to prevent pandemics from spreading ,"{""_session_id"": ""mf2pnq3z-t0suvd"", ""_page_visits"": {""0"": ""2025-09-02T15:36:15.346Z"", ""1"": ""2025-09-02T15:37:35.372Z""}, ""_submitted_at"": ""2025-09-02T15:37:48.170340"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:37.965Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=6785f0d3adcf1ffc11119d0e&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70eeab600f26733960a6d"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""i support the government because that is the best way to prevent pandemics from spreading ""}"
9170,mf2po4gs-qu9ucu,no-vote,"Yes, i believe that if vaccination have been tested and proven to help protect people from illness, then it’s important to enforce vaccination measures so people will be protected and can help reduce the spreading of disease.",2025-09-02T15:36:33.660110+00:00,False,,,,public,,,2025-09-02T15:36:33.436Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=671f12c5d2543b67c0f12e57&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70e703268f4b5ae4cef0d,Page 1: 15:35:11; Page 2: 15:36:31,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,"Yes, i believe that if vaccination have been tested and proven to help protect people from illness, then it’s important to enforce vaccination measures so people will be protected and can help reduce the spreading of disease.","{""_session_id"": ""mf2pmcs0-3k87hg"", ""_page_visits"": {""0"": ""2025-09-02T15:35:11.149Z"", ""1"": ""2025-09-02T15:36:31.609Z""}, ""_submitted_at"": ""2025-09-02T15:36:33.659767"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:36:33.436Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=671f12c5d2543b67c0f12e57&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70e703268f4b5ae4cef0d"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, i believe that if vaccination have been tested and proven to help protect people from illness, then it\u2019s important to enforce vaccination measures so people will be protected and can help reduce the spreading of disease.""}"
9165,mf2pmkji-cxvuqo,no-vote,"Yes, I think especially early in the pandemic, it was important to be able to enforce these things as not enough was known about the virus. But as more was known, it was ok to remove the measures.",2025-09-02T15:35:21.827898+00:00,False,,,,public,,,2025-09-02T15:35:20.959Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=5ae11f9709eae20001132c22&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70e6b00f0d7d8bc806709,Page 1: 15:34:09; Page 2: 15:35:19,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,"Yes, I think especially early in the pandemic, it was important to be able to enforce these things as not enough was known about the virus. But as more was known, it was ok to remove the measures.","{""_session_id"": ""mf2pl1o2-01w9go"", ""_page_visits"": {""0"": ""2025-09-02T15:34:09.982Z"", ""1"": ""2025-09-02T15:35:19.159Z""}, ""_submitted_at"": ""2025-09-02T15:35:21.827537"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:35:20.959Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=5ae11f9709eae20001132c22&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b70e6b00f0d7d8bc806709"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes, I think especially early in the pandemic, it was important to be able to enforce these things as not enough was known about the virus. But as more was known, it was ok to remove the measures.""}"
9132,mf2mbdw7-ufmqdi,no-vote,"I think it's a good idea because sometimes people just make bad decisions for themselves and put everyone else at risk because of it, and so sometimes we should step in and tell them what to do for the greater good.",2025-09-02T14:02:36.267213+00:00,False,,,,public,,,2025-09-02T14:02:40.279Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6f8a3f9e13bdb8d377928,Page 1: 14:01:19; Page 2: 14:02:27,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,"I think it's a good idea because sometimes people just make bad decisions for themselves and put everyone else at risk because of it, and so sometimes we should step in and tell them what to do for the greater good.","{""_session_id"": ""mf2m9nrg-fx0d0t"", ""_page_visits"": {""0"": ""2025-09-02T14:01:19.926Z"", ""1"": ""2025-09-02T14:02:27.409Z""}, ""_submitted_at"": ""2025-09-02T14:02:36.266847"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T14:02:40.279Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6f8a3f9e13bdb8d377928"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think it's a good idea because sometimes people just make bad decisions for themselves and put everyone else at risk because of it, and so sometimes we should step in and tell them what to do for the greater good.""}"
9126,mf2j6bm7-bbbdwe,no-vote,"Yes,  it's important for people to be vaccinated. Opposing this could lead to wide spread disease.",2025-09-02T12:34:46.033220+00:00,False,,,,public,,,2025-09-02T12:34:45.199Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6e4255990649c0756e9f4,Page 1: 12:33:48; Page 2: 12:34:44,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,"Yes,  it's important for people to be vaccinated. Opposing this could lead to wide spread disease.","{""_session_id"": ""mf2j53sh-3r522c"", ""_page_visits"": {""0"": ""2025-09-02T12:33:48.856Z"", ""1"": ""2025-09-02T12:34:44.074Z""}, ""_submitted_at"": ""2025-09-02T12:34:46.032860"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T12:34:45.199Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6e4255990649c0756e9f4"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes,  it's important for people to be vaccinated. Opposing this could lead to wide spread disease.""}"
9119,mf2hfrvn-s9msx6,no-vote,No I don’t support mandated vaccines. The vaccines made for covid when it first happened were not studied or sampled for long at all. Many people developed autoimmune issues.,2025-09-02T11:46:07.354257+00:00,False,,,,public,,,2025-09-02T11:46:06.947Z,https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6d8a3002bb15ed5ea5944,Page 1: 11:44:52; Page 2: 11:46:05,Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1–2 sentences.: Visible,No I don’t support mandated vaccines. The vaccines made for covid when it first happened were not studied or sampled for long at all. Many people developed autoimmune issues.,"{""_session_id"": ""mf2he66r-ggkpf7"", ""_page_visits"": {""0"": ""2025-09-02T11:44:52.283Z"", ""1"": ""2025-09-02T11:46:05.901Z""}, ""_submitted_at"": ""2025-09-02T11:46:07.353874"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""Do you support the government having the authority to enforce vaccination and quarantine measures during severe epidemics? Please answer briefly in 1\u20132 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:46:06.947Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/020cc470-6a20-487c-b199-c981a6ffa221?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b36213d94873f22952dc5b&SESSION_ID=68b6d8a3002bb15ed5ea5944"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""No I don\u2019t support mandated vaccines. The vaccines made for covid when it first happened were not studied or sampled for long at all. Many people developed autoimmune issues.""}"
