ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,How has AI changed your life? Please answer briefly in 2–3 sentences. (text),Full Response Metadata (JSON)
9211,mf2qoj4n-3w4egv,no-vote,Al changed my life by making my daily tasks easier to do .,2025-09-02T16:04:53.404088+00:00,False,,,,public,,,2025-09-02T16:04:52.057Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5fd63cb585f88c4eb1933661&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b714f87030c062261d8c52,Page 1: 16:02:10; Page 2: 16:04:49,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,Al changed my life by making my daily tasks easier to do .,"{""_session_id"": ""mf2ql29o-jpbtzq"", ""_page_visits"": {""0"": ""2025-09-02T16:02:10.863Z"", ""1"": ""2025-09-02T16:04:49.259Z""}, ""_submitted_at"": ""2025-09-02T16:04:53.403708"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T16:04:52.057Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5fd63cb585f88c4eb1933661&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b714f87030c062261d8c52"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Al changed my life by making my daily tasks easier to do .""}"
9209,mf2qnodt-m2rkqt,no-vote,It has allowed me to speed up my work. I can use AI to do meaningless tasks that would take up my time.,2025-09-02T16:04:12.921194+00:00,False,,,,public,,,2025-09-02T16:04:12.210Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5e7b6486b704ac034e3f01c8&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b71553895ef084e6248d75,Page 1: 16:03:40; Page 2: 16:04:10,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,It has allowed me to speed up my work. I can use AI to do meaningless tasks that would take up my time.,"{""_session_id"": ""mf2qmzpf-7j44hi"", ""_page_visits"": {""0"": ""2025-09-02T16:03:40.419Z"", ""1"": ""2025-09-02T16:04:10.351Z""}, ""_submitted_at"": ""2025-09-02T16:04:12.920822"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T16:04:12.210Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5e7b6486b704ac034e3f01c8&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b71553895ef084e6248d75"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""It has allowed me to speed up my work. I can use AI to do meaningless tasks that would take up my time.""}"
9187,mf2pwhbf-u4cf3e,no-vote,It has allowed me to have more free time.  It makes doing routine tasks and research at work much easier.  It is also made me more entertained and amused.,2025-09-02T15:43:03.036692+00:00,False,,,,public,,,2025-09-02T15:43:03.339Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5d88db42c1d06e001a1fdcab&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b7102b2176a2fbe5212d09,Page 1: 15:41:41; Page 2: 15:42:26,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,It has allowed me to have more free time.  It makes doing routine tasks and research at work much easier.  It is also made me more entertained and amused.,"{""_session_id"": ""mf2puq6e-qhi7vi"", ""_page_visits"": {""0"": ""2025-09-02T15:41:41.605Z"", ""1"": ""2025-09-02T15:42:26.913Z""}, ""_submitted_at"": ""2025-09-02T15:43:03.036289"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:43:03.339Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5d88db42c1d06e001a1fdcab&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b7102b2176a2fbe5212d09"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""It has allowed me to have more free time.  It makes doing routine tasks and research at work much easier.  It is also made me more entertained and amused.""}"
9159,mf2plpdk-vt271p,no-vote,AI has helped me streamline most of my things with precision and accuracy. This has made me struggle less in my place of work.,2025-09-02T15:34:40.868125+00:00,False,,,,public,,,2025-09-02T15:34:40.569Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=67fd46db088825e305648e1a&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70dda0ca2af4588a717aa,Page 1: 15:32:14; Page 2: 15:34:36,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,AI has helped me streamline most of my things with precision and accuracy. This has made me struggle less in my place of work.,"{""_session_id"": ""mf2pike1-2ubjno"", ""_page_visits"": {""0"": ""2025-09-02T15:32:14.289Z"", ""1"": ""2025-09-02T15:34:36.245Z""}, ""_submitted_at"": ""2025-09-02T15:34:40.867278"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:40.569Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=67fd46db088825e305648e1a&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70dda0ca2af4588a717aa"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""AI has helped me streamline most of my things with precision and accuracy. This has made me struggle less in my place of work.""}"
9158,mf2plldo-2aclkq,no-vote,Compiles information quickly into a summary. Sometimes its helpful. ,2025-09-02T15:34:35.567256+00:00,False,,,,public,,,2025-09-02T15:34:35.388Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5e998f318e64b60009f048dd&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70e2310fdf71d53ebc61c,Page 1: 15:33:33; Page 2: 15:34:30,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,Compiles information quickly into a summary. Sometimes its helpful. ,"{""_session_id"": ""mf2pk9fk-kirwsc"", ""_page_visits"": {""0"": ""2025-09-02T15:33:33.303Z"", ""1"": ""2025-09-02T15:34:30.007Z""}, ""_submitted_at"": ""2025-09-02T15:34:35.566459"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:35.388Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=5e998f318e64b60009f048dd&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70e2310fdf71d53ebc61c"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Compiles information quickly into a summary. Sometimes its helpful. ""}"
9147,mf2pk5ra-n4aj9a,no-vote,"Yes but not to a great degree, I view it as another optional tool I can utilize for things such as research or quick ideas. But it hasn't really impacted or changed my life.",2025-09-02T15:33:28.439186+00:00,False,,,,public,,,2025-09-02T15:33:28.486Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=676100a2462d62865f6a1b1f&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70e184c0cb141dd3333b4,Page 1: 15:32:45; Page 2: 15:33:27,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,"Yes but not to a great degree, I view it as another optional tool I can utilize for things such as research or quick ideas. But it hasn't really impacted or changed my life.","{""_session_id"": ""mf2pj8n9-xoqejw"", ""_page_visits"": {""0"": ""2025-09-02T15:32:45.666Z"", ""1"": ""2025-09-02T15:33:27.051Z""}, ""_submitted_at"": ""2025-09-02T15:33:28.438807"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:28.486Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=676100a2462d62865f6a1b1f&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70e184c0cb141dd3333b4"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Yes but not to a great degree, I view it as another optional tool I can utilize for things such as research or quick ideas. But it hasn't really impacted or changed my life.""}"
9146,mf2pjru1-bg8dz4,no-vote,"It has made researching and searching easier because it provides a summary and popular sources. However, the information isn't always accurate or relevant. I have to fact check the summary and the individual sources. Also, it is biased in on providing certain sources it can access.",2025-09-02T15:33:10.624568+00:00,False,,,,public,,,2025-09-02T15:33:10.442Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=6675ebfe4ca3bfdd2a986877&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70dd94af781813e263fc8,Page 1: 15:31:50; Page 2: 15:33:07,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,"It has made researching and searching easier because it provides a summary and popular sources. However, the information isn't always accurate or relevant. I have to fact check the summary and the individual sources. Also, it is biased in on providing certain sources it can access.","{""_session_id"": ""mf2pi1vi-s9q7hh"", ""_page_visits"": {""0"": ""2025-09-02T15:31:50.333Z"", ""1"": ""2025-09-02T15:33:07.209Z""}, ""_submitted_at"": ""2025-09-02T15:33:10.624194"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:10.442Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=6675ebfe4ca3bfdd2a986877&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70dd94af781813e263fc8"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""It has made researching and searching easier because it provides a summary and popular sources. However, the information isn't always accurate or relevant. I have to fact check the summary and the individual sources. Also, it is biased in on providing certain sources it can access.""}"
9145,mf2pjpqh-rv8yrd,no-vote,"I've used AI, specifically ChatGPT, to learn information about a subject that I'm writing about. ChatGPT is basically like how Google used to be. It's been very useful in helping me learn technical information about various subjects that I'm interested in.",2025-09-02T15:33:07.276178+00:00,False,,,,public,,,2025-09-02T15:33:07.721Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=63d811906590fb193288cf36&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70df2f35bc6641fdec038,Page 1: 15:32:09; Page 2: 15:33:05,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,"I've used AI, specifically ChatGPT, to learn information about a subject that I'm writing about. ChatGPT is basically like how Google used to be. It's been very useful in helping me learn technical information about various subjects that I'm interested in.","{""_session_id"": ""mf2piges-46in8t"", ""_page_visits"": {""0"": ""2025-09-02T15:32:09.058Z"", ""1"": ""2025-09-02T15:33:05.719Z""}, ""_submitted_at"": ""2025-09-02T15:33:07.275811"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:07.721Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=63d811906590fb193288cf36&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b70df2f35bc6641fdec038"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I've used AI, specifically ChatGPT, to learn information about a subject that I'm writing about. ChatGPT is basically like how Google used to be. It's been very useful in helping me learn technical information about various subjects that I'm interested in.""}"
9140,mf2orv4r-terhcr,no-vote,"I am an old school individual from the times of typewriter and library books. AI has made this so much easier to learn and understand information.in addition, the ability to search information and create new ideas much faster ",2025-09-02T15:11:28.818910+00:00,False,,,,public,,,2025-09-02T15:11:28.348Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b7089ca933a4ab84992bfa,Page 1: 15:09:29; Page 2: 15:11:26,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,"I am an old school individual from the times of typewriter and library books. AI has made this so much easier to learn and understand information.in addition, the ability to search information and create new ideas much faster ","{""_session_id"": ""mf2opb35-0i3eup"", ""_page_visits"": {""0"": ""2025-09-02T15:09:29.216Z"", ""1"": ""2025-09-02T15:11:26.379Z""}, ""_submitted_at"": ""2025-09-02T15:11:28.818571"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:11:28.348Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b7089ca933a4ab84992bfa"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I am an old school individual from the times of typewriter and library books. AI has made this so much easier to learn and understand information.in addition, the ability to search information and create new ideas much faster ""}"
9111,mf2guf0d-j7c6xg,no-vote,It helps me personally when I have conflicts with other people to realize if I’m overreacting or not.,2025-09-02T11:29:30.885169+00:00,False,,,,public,,,2025-09-02T11:29:30.493Z,https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b6d4ef55a7cc9dac6fcd5d,Page 1: 11:28:56; Page 2: 11:29:28,How has AI changed your life? Please answer briefly in 2–3 sentences.: Visible,It helps me personally when I have conflicts with other people to realize if I’m overreacting or not.,"{""_session_id"": ""mf2gtomb-i4dear"", ""_page_visits"": {""0"": ""2025-09-02T11:28:56.395Z"", ""1"": ""2025-09-02T11:29:28.739Z""}, ""_submitted_at"": ""2025-09-02T11:29:30.884802"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""How has AI changed your life? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:29:30.493Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/3e22d820-7c7f-4ec7-afda-13e9d4a1558b?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b6025370abec6ff718e906&SESSION_ID=68b6d4ef55a7cc9dac6fcd5d"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""It helps me personally when I have conflicts with other people to realize if I\u2019m overreacting or not.""}"
