ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences. (text)",Full Response Metadata (JSON)
9204,mf2qeq4z-aw432v,no-vote,I would get rid of the tipping system entirely.  Too many places that shouldn't be asking for tips are and people are being bullied into it.,2025-09-02T15:57:14.365845+00:00,False,,,,public,,,2025-09-02T15:57:14.579Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=611e7207aaf352cb4c807e78&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b713b4b668a7eec68fd393,Page 1: 15:56:46; Page 2: 15:57:13,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible",I would get rid of the tipping system entirely.  Too many places that shouldn't be asking for tips are and people are being bullied into it.,"{""_session_id"": ""mf2qe4bk-77st0j"", ""_page_visits"": {""0"": ""2025-09-02T15:56:46.422Z"", ""1"": ""2025-09-02T15:57:13.062Z""}, ""_submitted_at"": ""2025-09-02T15:57:14.364886"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:57:14.579Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=611e7207aaf352cb4c807e78&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b713b4b668a7eec68fd393"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I would get rid of the tipping system entirely.  Too many places that shouldn't be asking for tips are and people are being bullied into it.""}"
9203,mf2qee9a-bxojiq,no-vote,"Tipping should be based on quality of service provided, but I think the tipping culture for every small transaction is an overkill. What used to be a basic transaction, now I can't pay for things without the tipping menu popup. ",2025-09-02T15:56:59.524596+00:00,False,,,,public,,,2025-09-02T15:56:59.182Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=65cf6dbbe3b7c1159d0364e9&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b7134eb8a5857cb1b2158d,Page 1: 15:55:14; Page 2: 15:56:47,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible","Tipping should be based on quality of service provided, but I think the tipping culture for every small transaction is an overkill. What used to be a basic transaction, now I can't pay for things without the tipping menu popup. ","{""_session_id"": ""mf2qc5ku-13pnn6"", ""_page_visits"": {""0"": ""2025-09-02T15:55:14.735Z"", ""1"": ""2025-09-02T15:56:47.366Z""}, ""_submitted_at"": ""2025-09-02T15:56:59.524222"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:56:59.182Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=65cf6dbbe3b7c1159d0364e9&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b7134eb8a5857cb1b2158d"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Tipping should be based on quality of service provided, but I think the tipping culture for every small transaction is an overkill. What used to be a basic transaction, now I can't pay for things without the tipping menu popup. ""}"
9197,mf2q6ljg-u68vea,no-vote,"If I were to improve the tipping system I would possibly make it so the customer receives something for the tip. For example, a written thank you note. A coupon could also be given for the next time.",2025-09-02T15:50:57.427460+00:00,False,,,,public,,,2025-09-02T15:50:55.372Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=5f2dfc9bcae87215c17d34d4&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b71199ae4179c08d972651,Page 1: 15:47:45; Page 2: 15:50:49,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible","If I were to improve the tipping system I would possibly make it so the customer receives something for the tip. For example, a written thank you note. A coupon could also be given for the next time.","{""_session_id"": ""mf2q2ird-5ybz1s"", ""_page_visits"": {""0"": ""2025-09-02T15:47:45.275Z"", ""1"": ""2025-09-02T15:50:49.728Z""}, ""_submitted_at"": ""2025-09-02T15:50:57.427066"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:50:55.372Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=5f2dfc9bcae87215c17d34d4&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b71199ae4179c08d972651"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""If I were to improve the tipping system I would possibly make it so the customer receives something for the tip. For example, a written thank you note. A coupon could also be given for the next time.""}"
9196,mf2q6dzt-7fxqdy,no-vote,"I always tip at every establishment I go to. Regarding the tipping system, I am not sure what I would change about the tipping system, but I would change that everyone gets a base hourly wage that is livable, because a lot of workers who get tips have very low hourly wages and they rely heavily on tips and sometimes people just don't tip.",2025-09-02T15:50:46.257845+00:00,False,,,,public,,,2025-09-02T15:50:45.594Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=67781b6f0809a3bd3c4139f1&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b711c95759ab9e22183baf,Page 1: 15:48:34; Page 2: 15:50:43,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible","I always tip at every establishment I go to. Regarding the tipping system, I am not sure what I would change about the tipping system, but I would change that everyone gets a base hourly wage that is livable, because a lot of workers who get tips have very low hourly wages and they rely heavily on tips and sometimes people just don't tip.","{""_session_id"": ""mf2q3kl7-jwhybb"", ""_page_visits"": {""0"": ""2025-09-02T15:48:34.358Z"", ""1"": ""2025-09-02T15:50:43.120Z""}, ""_submitted_at"": ""2025-09-02T15:50:46.257482"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:50:45.594Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=67781b6f0809a3bd3c4139f1&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b711c95759ab9e22183baf"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I always tip at every establishment I go to. Regarding the tipping system, I am not sure what I would change about the tipping system, but I would change that everyone gets a base hourly wage that is livable, because a lot of workers who get tips have very low hourly wages and they rely heavily on tips and sometimes people just don't tip.""}"
9185,mf2pt2we-xik8cx,no-vote,I think that tipping is okay as long as you are not pressured into it. I think businesses should be required to pay people a livable wage so that they don't have to rely on tips.,2025-09-02T15:40:13.313270+00:00,False,,,,public,,,2025-09-02T15:40:24.686Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6758dfba40a30c80e461d98f&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b70f81961b1fa753846dd5,Page 1: 15:39:07; Page 2: 15:40:21,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible",I think that tipping is okay as long as you are not pressured into it. I think businesses should be required to pay people a livable wage so that they don't have to rely on tips.,"{""_session_id"": ""mf2prf3k-i5m2o3"", ""_page_visits"": {""0"": ""2025-09-02T15:39:07.478Z"", ""1"": ""2025-09-02T15:40:21.937Z""}, ""_submitted_at"": ""2025-09-02T15:40:13.312900"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:40:24.686Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6758dfba40a30c80e461d98f&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b70f81961b1fa753846dd5"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think that tipping is okay as long as you are not pressured into it. I think businesses should be required to pay people a livable wage so that they don't have to rely on tips.""}"
9151,mf2pkrmr-ow03ho,no-vote,I would get rid of mandatory tipping and make the employee pay there employees a decent living wge. The responsibility is on them,2025-09-02T15:33:56.874176+00:00,False,,,,public,,,2025-09-02T15:33:56.835Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=59f0f82ce75b450001a699ad&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b70e18c0e1455acc03e3fd,Page 1: 15:32:47; Page 2: 15:33:52,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible",I would get rid of mandatory tipping and make the employee pay there employees a decent living wge. The responsibility is on them,"{""_session_id"": ""mf2pjad2-v74nob"", ""_page_visits"": {""0"": ""2025-09-02T15:32:47.896Z"", ""1"": ""2025-09-02T15:33:52.966Z""}, ""_submitted_at"": ""2025-09-02T15:33:56.873819"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:56.835Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=59f0f82ce75b450001a699ad&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b70e18c0e1455acc03e3fd"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I would get rid of mandatory tipping and make the employee pay there employees a decent living wge. The responsibility is on them""}"
9106,mf2g7gfp-bo0adq,no-vote,i think most restaurants should make the system free and not manadatory. Customers dont have to be forced to pay mandatory tips ,2025-09-02T11:11:40.788535+00:00,False,,,,public,,,2025-09-02T11:11:39.254Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b6d01f3403beebcb224ee6,Page 1: 11:09:57; Page 2: 11:11:34,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible",i think most restaurants should make the system free and not manadatory. Customers dont have to be forced to pay mandatory tips ,"{""_session_id"": ""mf2g59hf-hp7kjx"", ""_page_visits"": {""0"": ""2025-09-02T11:09:57.581Z"", ""1"": ""2025-09-02T11:11:34.444Z""}, ""_submitted_at"": ""2025-09-02T11:11:40.788160"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:11:39.254Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b6d01f3403beebcb224ee6"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""i think most restaurants should make the system free and not manadatory. Customers dont have to be forced to pay mandatory tips ""}"
9066,mf23t426-qk6tb3,no-vote,"Tipping is beneficial for the one who is receiving. However most people don’t follow the tipping system. Based on the professional service or polite attitude the may may turn out to be more then the tipping system. On the other hand you may want to tip big and you really just don’t have it financially to do so, in return you tip what you can to assure you let your server know you appreciated them.",2025-09-02T05:24:35.094676+00:00,False,,,,public,,,2025-09-02T05:24:34.639Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b67e0881b67f43d7e793ac,Page 1: 05:18:07; Page 2: 05:24:27,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible","Tipping is beneficial for the one who is receiving. However most people don’t follow the tipping system. Based on the professional service or polite attitude the may may turn out to be more then the tipping system. On the other hand you may want to tip big and you really just don’t have it financially to do so, in return you tip what you can to assure you let your server know you appreciated them.","{""_session_id"": ""mf23kt4s-7l1a0g"", ""_page_visits"": {""0"": ""2025-09-02T05:18:07.345Z"", ""1"": ""2025-09-02T05:24:27.922Z""}, ""_submitted_at"": ""2025-09-02T05:24:35.094297"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T05:24:34.639Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b67e0881b67f43d7e793ac"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Tipping is beneficial for the one who is receiving. However most people don\u2019t follow the tipping system. Based on the professional service or polite attitude the may may turn out to be more then the tipping system. On the other hand you may want to tip big and you really just don\u2019t have it financially to do so, in return you tip what you can to assure you let your server know you appreciated them.""}"
8312,mf1u8t36-shmnro,no-vote,I think tipping is fine when its to just add something extra for good service. I dont think tipping should be forced or implied for 0 service or very minimal.,2025-09-02T00:56:56.699284+00:00,False,,,,public,,,2025-09-02T00:56:50.754Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6287a355e0dbfe43e55850b7&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b6401ecc69fba8f028dab0,Page 1: 00:55:36; Page 2: 00:56:47,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible",I think tipping is fine when its to just add something extra for good service. I dont think tipping should be forced or implied for 0 service or very minimal.,"{""_session_id"": ""mf1u77i1-f9ers9"", ""_page_visits"": {""0"": ""2025-09-02T00:55:36.299Z"", ""1"": ""2025-09-02T00:56:47.544Z""}, ""_submitted_at"": ""2025-09-02T00:56:56.698620"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T00:56:50.754Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=6287a355e0dbfe43e55850b7&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b6401ecc69fba8f028dab0"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think tipping is fine when its to just add something extra for good service. I dont think tipping should be forced or implied for 0 service or very minimal.""}"
8311,mf1twzfq-2eiyau,no-vote,"I would probably change the usual way of thinking about tipping from percentages to fixed amounts, and I'd also have people tip more because I just feel like what people actually tip is barely anything (when the bill is low, anyway), and so basically I'd make, say, the $20 or $30 tip the standard amount and then that would be that.",2025-09-02T00:47:34.069620+00:00,False,,,,public,,,2025-09-02T00:47:39.110Z,https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b63de068ed3e2989a620ea,Page 1: 00:44:33; Page 2: 00:47:14,"What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2–3 sentences.: Visible","I would probably change the usual way of thinking about tipping from percentages to fixed amounts, and I'd also have people tip more because I just feel like what people actually tip is barely anything (when the bill is low, anyway), and so basically I'd make, say, the $20 or $30 tip the standard amount and then that would be that.","{""_session_id"": ""mf1tt0ae-m0crlk"", ""_page_visits"": {""0"": ""2025-09-02T00:44:33.738Z"", ""1"": ""2025-09-02T00:47:14.953Z""}, ""_submitted_at"": ""2025-09-02T00:47:34.068931"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on tipping, and if given the chance, how would you improve or change the current tipping system? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T00:47:39.110Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/4b7cb1b8-8b7b-4b06-849e-e8c9a0dbef5e?PROLIFIC_PID=62853fe01fa0d21c4daacfcb&STUDY_ID=68b602bd189065a3fa236527&SESSION_ID=68b63de068ed3e2989a620ea"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I would probably change the usual way of thinking about tipping from percentages to fixed amounts, and I'd also have people tip more because I just feel like what people actually tip is barely anything (when the bill is low, anyway), and so basically I'd make, say, the $20 or $30 tip the standard amount and then that would be that.""}"
