ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences. (text),Full Response Metadata (JSON)
9212,mf2qozpg-dbsqy6,no-vote,"I think it's ridiculous. Education is literally the foundation for all other professions. Without at least a basic education, our society will fail, and pulling the funding from schools only sets up a future of failure. ",2025-09-02T16:05:13.529523+00:00,False,,,,public,,,2025-09-02T16:05:13.541Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5d6945587bc5c60018e1eeba&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b71573d7be00b41778cc4b,Page 1: 16:04:22; Page 2: 16:05:12,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,"I think it's ridiculous. Education is literally the foundation for all other professions. Without at least a basic education, our society will fail, and pulling the funding from schools only sets up a future of failure. ","{""_session_id"": ""mf2qnwdp-htwgfu"", ""_page_visits"": {""0"": ""2025-09-02T16:04:22.671Z"", ""1"": ""2025-09-02T16:05:12.162Z""}, ""_submitted_at"": ""2025-09-02T16:05:13.529153"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T16:05:13.541Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5d6945587bc5c60018e1eeba&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b71573d7be00b41778cc4b"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think it's ridiculous. Education is literally the foundation for all other professions. Without at least a basic education, our society will fail, and pulling the funding from schools only sets up a future of failure. ""}"
9201,mf2qahcg-r1rxal,no-vote,I don't think it's fair to the kids. But not just the children there's adults that want to further their education ,2025-09-02T15:53:57.119937+00:00,False,,,,public,,,2025-09-02T15:53:56.561Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=678936ed129bff16abbc388c&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b712960e2b958b92deb9dc,Page 1: 15:52:02; Page 2: 15:53:49,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,I don't think it's fair to the kids. But not just the children there's adults that want to further their education ,"{""_session_id"": ""mf2q812f-ilpl2q"", ""_page_visits"": {""0"": ""2025-09-02T15:52:02.325Z"", ""1"": ""2025-09-02T15:53:49.526Z""}, ""_submitted_at"": ""2025-09-02T15:53:57.119568"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:53:56.561Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=678936ed129bff16abbc388c&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b712960e2b958b92deb9dc"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I don't think it's fair to the kids. But not just the children there's adults that want to further their education ""}"
9193,mf2q50bz-nxa5nw,no-vote,I believe it is determinantal toward the future of the country. Young adults should have avenues for education and cutting funding toward that is a negative long term. Research leads to innovations that can save billions of dollars and lives such as cancer research.,2025-09-02T15:49:42.039902+00:00,False,,,,public,,,2025-09-02T15:49:41.231Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5d3695969749cc00165c222f&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b711b581af40917134c790,Page 1: 15:48:14; Page 2: 15:49:39,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,I believe it is determinantal toward the future of the country. Young adults should have avenues for education and cutting funding toward that is a negative long term. Research leads to innovations that can save billions of dollars and lives such as cancer research.,"{""_session_id"": ""mf2q356i-4yy8h8"", ""_page_visits"": {""0"": ""2025-09-02T15:48:14.321Z"", ""1"": ""2025-09-02T15:49:39.564Z""}, ""_submitted_at"": ""2025-09-02T15:49:42.039549"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:49:41.231Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5d3695969749cc00165c222f&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b711b581af40917134c790"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I believe it is determinantal toward the future of the country. Young adults should have avenues for education and cutting funding toward that is a negative long term. Research leads to innovations that can save billions of dollars and lives such as cancer research.""}"
9184,mf2pr6vz-qgrtr6,no-vote,Trump cutting academic funding is extremely foolish and short-sighted and will only serve to make the lives of the people of this country worse. Everyone deserves a high-quality and SAFE education.,2025-09-02T15:38:56.746895+00:00,False,,,,public,,,2025-09-02T15:38:56.543Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5fcd50a782a09ac2311d4bc4&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70e1de804f63f7d03aa4a,Page 1: 15:32:54; Page 2: 15:38:54,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,Trump cutting academic funding is extremely foolish and short-sighted and will only serve to make the lives of the people of this country worse. Everyone deserves a high-quality and SAFE education.,"{""_session_id"": ""mf2pjfan-bki5wq"", ""_page_visits"": {""0"": ""2025-09-02T15:32:54.291Z"", ""1"": ""2025-09-02T15:38:54.476Z""}, ""_submitted_at"": ""2025-09-02T15:38:56.746541"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:38:56.543Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=5fcd50a782a09ac2311d4bc4&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70e1de804f63f7d03aa4a"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Trump cutting academic funding is extremely foolish and short-sighted and will only serve to make the lives of the people of this country worse. Everyone deserves a high-quality and SAFE education.""}"
9149,mf2pkbh0-hcqfdv,no-vote,"I believe that there is some justification for a reduction in funding due to the marxist and radical left-leaning politics of American academic institutions. However, I believe also that the cuts indicate a freeze factor on independent thinking. ",2025-09-02T15:33:35.611929+00:00,False,,,,public,,,2025-09-02T15:33:35.893Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=654bf8dcd2974212955ac792&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70dfbc8dabb012d75f76f,Page 1: 15:32:20; Page 2: 15:33:33,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,"I believe that there is some justification for a reduction in funding due to the marxist and radical left-leaning politics of American academic institutions. However, I believe also that the cuts indicate a freeze factor on independent thinking. ","{""_session_id"": ""mf2pioqk-jizaz1"", ""_page_visits"": {""0"": ""2025-09-02T15:32:20.333Z"", ""1"": ""2025-09-02T15:33:33.308Z""}, ""_submitted_at"": ""2025-09-02T15:33:35.611092"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:35.893Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=654bf8dcd2974212955ac792&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70dfbc8dabb012d75f76f"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I believe that there is some justification for a reduction in funding due to the marxist and radical left-leaning politics of American academic institutions. However, I believe also that the cuts indicate a freeze factor on independent thinking. ""}"
9148,mf2pk792-r5jj0n,no-vote,I don't know anything about what you're talking about so I don't have thoughts on it I would need to know the details to form an opinion,2025-09-02T15:33:30.499795+00:00,False,,,,public,,,2025-09-02T15:33:30.422Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=66d5df7fae9d013ca748322b&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70e0f24229edc27f89c2e,Page 1: 15:32:39; Page 2: 15:33:23,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,I don't know anything about what you're talking about so I don't have thoughts on it I would need to know the details to form an opinion,"{""_session_id"": ""mf2pj3jm-rs1np3"", ""_page_visits"": {""0"": ""2025-09-02T15:32:39.071Z"", ""1"": ""2025-09-02T15:33:23.963Z""}, ""_submitted_at"": ""2025-09-02T15:33:30.499440"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:30.422Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=66d5df7fae9d013ca748322b&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b70e0f24229edc27f89c2e"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I don't know anything about what you're talking about so I don't have thoughts on it I would need to know the details to form an opinion""}"
9109,mf2gf19t-cs02tw,no-vote,"I'm sure he has his reasons and he will definitely have a solution. Most schools run on funding to do research and give the best education, cutting funding without an alternative solution could bring a slow decline to the quality of education.",2025-09-02T11:17:34.348505+00:00,False,,,,public,,,2025-09-02T11:17:32.849Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b6d1d9c20313b9b632daf6,Page 1: 11:15:45; Page 2: 11:17:31,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,"I'm sure he has his reasons and he will definitely have a solution. Most schools run on funding to do research and give the best education, cutting funding without an alternative solution could bring a slow decline to the quality of education.","{""_session_id"": ""mf2gcq6o-f3ipyg"", ""_page_visits"": {""0"": ""2025-09-02T11:15:45.827Z"", ""1"": ""2025-09-02T11:17:31.265Z""}, ""_submitted_at"": ""2025-09-02T11:17:34.348096"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:17:32.849Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b6d1d9c20313b9b632daf6"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I'm sure he has his reasons and he will definitely have a solution. Most schools run on funding to do research and give the best education, cutting funding without an alternative solution could bring a slow decline to the quality of education.""}"
9098,mf27o5q4-s9tvtq,no-vote,"This is one of the worst idiotic policies coming from this idiotic and corrupt administration. Due to cuts to academic funding, academic researchers will  leave and benefit America's competitors in science and industry (not to mention non-STEM fields).",2025-09-02T07:12:42.467611+00:00,False,,,,public,,,2025-09-02T07:12:41.980Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=681ae0b6cf95dda70f860d9c&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b69844a92f1204e39349fe,Page 1: 07:10:11; Page 2: 07:12:37,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,"This is one of the worst idiotic policies coming from this idiotic and corrupt administration. Due to cuts to academic funding, academic researchers will  leave and benefit America's competitors in science and industry (not to mention non-STEM fields).","{""_session_id"": ""mf27kxt9-9ofzd3"", ""_page_visits"": {""0"": ""2025-09-02T07:10:11.941Z"", ""1"": ""2025-09-02T07:12:37.674Z""}, ""_submitted_at"": ""2025-09-02T07:12:42.467231"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T07:12:41.980Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=681ae0b6cf95dda70f860d9c&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b69844a92f1204e39349fe"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""This is one of the worst idiotic policies coming from this idiotic and corrupt administration. Due to cuts to academic funding, academic researchers will  leave and benefit America's competitors in science and industry (not to mention non-STEM fields).""}"
9093,mf26a3dx-zlydd5,no-vote,He's hurting a lot of students who can't normally afford to go to college.,2025-09-02T06:33:47.500852+00:00,False,,,,public,,,2025-09-02T06:33:46.150Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=647845ab90c460ec4a86efba&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b68ed040a21d9c25702617,Page 1: 06:29:48; Page 2: 06:33:33,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,He's hurting a lot of students who can't normally afford to go to college.,"{""_session_id"": ""mf264zxy-ao9zfc"", ""_page_visits"": {""0"": ""2025-09-02T06:29:48.476Z"", ""1"": ""2025-09-02T06:33:33.352Z""}, ""_submitted_at"": ""2025-09-02T06:33:47.500475"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T06:33:46.150Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=647845ab90c460ec4a86efba&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b68ed040a21d9c25702617"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""He's hurting a lot of students who can't normally afford to go to college.""}"
9053,mf22b1cl-z3vtt5,no-vote,"I think cutting academic funding could harm students and educators by limiting resources for learning and research. It may also reduce opportunities for innovation and weaken the country’s long-term competitiveness. Investing in education is usually more beneficial than reducing it.
",2025-09-02T04:42:33.462208+00:00,False,,,,public,,,2025-09-02T04:42:31.702Z,https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=67e5cefeefd6e23bf7fef2ff&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b6757b7b095be2af28e2b8,Page 1: 04:41:54; Page 2: 04:42:25,What are your thoughts on Trump’s decision to cut academic funding? Please answer briefly in 2–3 sentences.: Visible,"I think cutting academic funding could harm students and educators by limiting resources for learning and research. It may also reduce opportunities for innovation and weaken the country’s long-term competitiveness. Investing in education is usually more beneficial than reducing it.
","{""_session_id"": ""mf22a8d0-isldb2"", ""_page_visits"": {""0"": ""2025-09-02T04:41:54.814Z"", ""1"": ""2025-09-02T04:42:25.677Z""}, ""_submitted_at"": ""2025-09-02T04:42:33.461845"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What are your thoughts on Trump\u2019s decision to cut academic funding? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T04:42:31.702Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/16ce409c-2fb4-4667-a63a-3d333e7045b7?PROLIFIC_PID=67e5cefeefd6e23bf7fef2ff&STUDY_ID=68b601d9bc7478adc2bcc8fb&SESSION_ID=68b6757b7b095be2af28e2b8"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think cutting academic funding could harm students and educators by limiting resources for learning and research. It may also reduce opportunities for innovation and weaken the country\u2019s long-term competitiveness. Investing in education is usually more beneficial than reducing it.\n""}"
