ID,Session ID,Vote,Opinion Text,Submitted At,Is Flagged,Flagged By,Flagged At,Flag Reason,Access Type,Group/Participant Name,Participation Code,Access Granted At,Participation URL,Page Visit Timestamps,Module Status,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences. (text)",Full Response Metadata (JSON)
9194,mf2q56aw-yqi4my,no-vote,"The rapid updates cycle electronic products especially smartphones, can be both exciting and frustrating. On the other hand, it brings innovative features and improved perfomance frequently. On the other hand, it van make devices feel outdated quickly and put pressure on consumers to upgrade constantly,",2025-09-02T15:49:49.947072+00:00,False,,,,public,,,2025-09-02T15:49:48.968Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=680c0636408121caf12fe0d1&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b710e66518edf4658c51d7,Page 1: 15:44:57; Page 2: 15:49:46,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","The rapid updates cycle electronic products especially smartphones, can be both exciting and frustrating. On the other hand, it brings innovative features and improved perfomance frequently. On the other hand, it van make devices feel outdated quickly and put pressure on consumers to upgrade constantly,","{""_session_id"": ""mf2pyvcy-31h8fr"", ""_page_visits"": {""0"": ""2025-09-02T15:44:57.683Z"", ""1"": ""2025-09-02T15:49:46.626Z""}, ""_submitted_at"": ""2025-09-02T15:49:49.946734"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:49:48.968Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=680c0636408121caf12fe0d1&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b710e66518edf4658c51d7"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""The rapid updates cycle electronic products especially smartphones, can be both exciting and frustrating. On the other hand, it brings innovative features and improved perfomance frequently. On the other hand, it van make devices feel outdated quickly and put pressure on consumers to upgrade constantly,""}"
9191,mf2q3i4u-p3l59x,no-vote,"I think that the rapid update cycle will ultimately do more harm than good. Manufacturers are more so focused on rushing to get new products out, as opposed to perfecting existing products. Ultimately, we the consumers will get the short end of the stick.",2025-09-02T15:48:31.221163+00:00,False,,,,public,,,2025-09-02T15:48:30.990Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=660cda55786e37b1cbb49717&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b71166e3f350f6cc62f258,Page 1: 15:46:53; Page 2: 15:48:28,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","I think that the rapid update cycle will ultimately do more harm than good. Manufacturers are more so focused on rushing to get new products out, as opposed to perfecting existing products. Ultimately, we the consumers will get the short end of the stick.","{""_session_id"": ""mf2q1f6b-lr6knl"", ""_page_visits"": {""0"": ""2025-09-02T15:46:53.928Z"", ""1"": ""2025-09-02T15:48:28.985Z""}, ""_submitted_at"": ""2025-09-02T15:48:31.220811"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:48:30.990Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=660cda55786e37b1cbb49717&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b71166e3f350f6cc62f258"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think that the rapid update cycle will ultimately do more harm than good. Manufacturers are more so focused on rushing to get new products out, as opposed to perfecting existing products. Ultimately, we the consumers will get the short end of the stick.""}"
9176,mf2ppdzc-mw1vb9,no-vote,The prices are young up.resources are not the same. Terrifs complicates shipping and production. ,2025-09-02T15:37:32.562349+00:00,False,,,,public,,,2025-09-02T15:37:32.424Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=5e998f318e64b60009f048dd&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70eaf8b61764b928bee1c,Page 1: 15:36:34; Page 2: 15:37:30,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible",The prices are young up.resources are not the same. Terrifs complicates shipping and production. ,"{""_session_id"": ""mf2po542-dadgcu"", ""_page_visits"": {""0"": ""2025-09-02T15:36:34.336Z"", ""1"": ""2025-09-02T15:37:30.657Z""}, ""_submitted_at"": ""2025-09-02T15:37:32.561971"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:37:32.424Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=5e998f318e64b60009f048dd&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70eaf8b61764b928bee1c"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""The prices are young up.resources are not the same. Terrifs complicates shipping and production. ""}"
9163,mf2pmaov-1w7azn,no-vote,"I think this will begin to slow down, although it is almost expected for a new flagship lineup to be produced year over year, we're greatly catching up to the bleeding edge of technology to where there is very little that can be changed and upgraded to a noticeable difference in quality between previous generations of lineups.",2025-09-02T15:35:08.250219+00:00,False,,,,public,,,2025-09-02T15:35:08.191Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=676100a2462d62865f6a1b1f&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e5a37e4cbf6757ddf1e,Page 1: 15:33:53; Page 2: 15:35:07,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","I think this will begin to slow down, although it is almost expected for a new flagship lineup to be produced year over year, we're greatly catching up to the bleeding edge of technology to where there is very little that can be changed and upgraded to a noticeable difference in quality between previous generations of lineups.","{""_session_id"": ""mf2pkooz-zzu2x9"", ""_page_visits"": {""0"": ""2025-09-02T15:33:53.125Z"", ""1"": ""2025-09-02T15:35:07.374Z""}, ""_submitted_at"": ""2025-09-02T15:35:08.249859"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:35:08.191Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=676100a2462d62865f6a1b1f&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e5a37e4cbf6757ddf1e"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think this will begin to slow down, although it is almost expected for a new flagship lineup to be produced year over year, we're greatly catching up to the bleeding edge of technology to where there is very little that can be changed and upgraded to a noticeable difference in quality between previous generations of lineups.""}"
9157,mf2pln3c-xfng9b,no-vote,"I think companies purposely force consumers to buy new models. When I was a kid, our family computer lasted nearly 15 years before they stopped pushing updates to it. Now my smartphones are no longer viable within 5 years. I have even had situations where I do a 2 year payment plan, and then once the plan is over, my phone stops charging or working and I have to buy a new one. Additionally, companies change the charger type with new models leading people to have to buy more accessories. ",2025-09-02T15:34:35.117519+00:00,False,,,,public,,,2025-09-02T15:34:37.608Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=66294472b8e914428870fcea&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e1f023d76ad4e27e47c,Page 1: 15:32:56; Page 2: 15:34:36,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","I think companies purposely force consumers to buy new models. When I was a kid, our family computer lasted nearly 15 years before they stopped pushing updates to it. Now my smartphones are no longer viable within 5 years. I have even had situations where I do a 2 year payment plan, and then once the plan is over, my phone stops charging or working and I have to buy a new one. Additionally, companies change the charger type with new models leading people to have to buy more accessories. ","{""_session_id"": ""mf2pjh7a-dauyny"", ""_page_visits"": {""0"": ""2025-09-02T15:32:56.773Z"", ""1"": ""2025-09-02T15:34:36.030Z""}, ""_submitted_at"": ""2025-09-02T15:34:35.117120"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:37.608Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=66294472b8e914428870fcea&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e1f023d76ad4e27e47c"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think companies purposely force consumers to buy new models. When I was a kid, our family computer lasted nearly 15 years before they stopped pushing updates to it. Now my smartphones are no longer viable within 5 years. I have even had situations where I do a 2 year payment plan, and then once the plan is over, my phone stops charging or working and I have to buy a new one. Additionally, companies change the charger type with new models leading people to have to buy more accessories. ""}"
9153,mf2plooc-4ru3lm,no-vote,Sometimes I feel they are too quick but at the same time I feel they are necessary as for security and higher services,2025-09-02T15:34:09.472744+00:00,False,,,,public,,,2025-09-02T15:34:39.660Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=5a1980eb5d06850001b00d84&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e21b0de6a923b1b579a,Page 1: 15:33:26; Page 2: 15:34:37,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible",Sometimes I feel they are too quick but at the same time I feel they are necessary as for security and higher services,"{""_session_id"": ""mf2pk3zc-g1dnhh"", ""_page_visits"": {""0"": ""2025-09-02T15:33:26.299Z"", ""1"": ""2025-09-02T15:34:37.333Z""}, ""_submitted_at"": ""2025-09-02T15:34:09.472368"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:34:39.660Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=5a1980eb5d06850001b00d84&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e21b0de6a923b1b579a"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Sometimes I feel they are too quick but at the same time I feel they are necessary as for security and higher services""}"
9150,mf2pkn1j-wq1fy6,no-vote,"I understand from a marketing standpoint of the release and updates of smartphones every 1-2 years, but I feel the best quality phones are ones that can last longer than that. I don't want to change and update my phone constantly. ",2025-09-02T15:33:49.803789+00:00,False,,,,public,,,2025-09-02T15:33:50.887Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=668dcd1f9dd44752b86c48a0&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e19d3142975ae333520,Page 1: 15:32:48; Page 2: 15:33:49,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","I understand from a marketing standpoint of the release and updates of smartphones every 1-2 years, but I feel the best quality phones are ones that can last longer than that. I don't want to change and update my phone constantly. ","{""_session_id"": ""mf2pjb6x-2nwydo"", ""_page_visits"": {""0"": ""2025-09-02T15:32:48.989Z"", ""1"": ""2025-09-02T15:33:49.672Z""}, ""_submitted_at"": ""2025-09-02T15:33:49.803429"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:33:50.887Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=668dcd1f9dd44752b86c48a0&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70e19d3142975ae333520"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I understand from a marketing standpoint of the release and updates of smartphones every 1-2 years, but I feel the best quality phones are ones that can last longer than that. I don't want to change and update my phone constantly. ""}"
9142,mf2p3vq0-bxaw7d,no-vote,Smartphones I believe is the new wave information at your fingertips when you need it. Not like the old times when you had to go to the library and wait for a computer to be available.,2025-09-02T15:20:49.408436+00:00,False,,,,public,,,2025-09-02T15:20:48.986Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70ae926649972509953f2,Page 1: 15:19:18; Page 2: 15:20:46,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible",Smartphones I believe is the new wave information at your fingertips when you need it. Not like the old times when you had to go to the library and wait for a computer to be available.,"{""_session_id"": ""mf2p1xht-8jajqh"", ""_page_visits"": {""0"": ""2025-09-02T15:19:18.124Z"", ""1"": ""2025-09-02T15:20:46.603Z""}, ""_submitted_at"": ""2025-09-02T15:20:49.408030"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T15:20:48.986Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=6823707f1e8590bc1a9b0473&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b70ae926649972509953f2"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""Smartphones I believe is the new wave information at your fingertips when you need it. Not like the old times when you had to go to the library and wait for a computer to be available.""}"
9121,mf2igdke-ugkq5e,no-vote,"I think it's a good thing,   it shows how innovative the world is and  how fast we are progressing. ",2025-09-02T12:14:35.469730+00:00,False,,,,public,,,2025-09-02T12:14:34.670Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b6df6be5641f96e501b4a5,Page 1: 12:13:41; Page 2: 12:14:33,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible","I think it's a good thing,   it shows how innovative the world is and  how fast we are progressing. ","{""_session_id"": ""mf2if7yz-ijfw6s"", ""_page_visits"": {""0"": ""2025-09-02T12:13:41.482Z"", ""1"": ""2025-09-02T12:14:33.491Z""}, ""_submitted_at"": ""2025-09-02T12:14:35.469352"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T12:14:34.670Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=680d0e5901ccaa23d8266fb2&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b6df6be5641f96e501b4a5"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think it's a good thing,   it shows how innovative the world is and  how fast we are progressing. ""}"
9113,mf2gzu78-x3o0nu,no-vote,I think it’s ridiculous. The only thing that is nice is the cameras being upgraded. It would be much more beneficial if they waited 2.5 years or 3 years for a big update.,2025-09-02T11:33:43.916948+00:00,False,,,,public,,,2025-09-02T11:33:43.460Z,https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b6d5acc37605abf21c9970,Page 1: 11:32:09; Page 2: 11:33:41,"What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2–3 sentences.: Visible",I think it’s ridiculous. The only thing that is nice is the cameras being upgraded. It would be much more beneficial if they waited 2.5 years or 3 years for a big update.,"{""_session_id"": ""mf2gxt8m-5lcgii"", ""_page_visits"": {""0"": ""2025-09-02T11:32:09.008Z"", ""1"": ""2025-09-02T11:33:41.004Z""}, ""_submitted_at"": ""2025-09-02T11:33:43.916595"", ""_module_status"": {""ae448238-cfa7-43f4-8809-6b36c5880c40"": {""id"": ""ae448238-cfa7-43f4-8809-6b36c5880c40"", ""type"": ""text"", ""title"": ""What is your opinion on the rapid update cycle of electronic products, especially smartphones? Please answer briefly in 2\u20133 sentences."", ""hasValue"": true, ""isVisible"": true, ""pageIndex"": 0, ""conditions"": [], ""isDisabled"": false, ""isCompleted"": true}}, ""_access_control"": {""type"": ""public"", ""access_granted_at"": ""2025-09-02T11:33:43.460Z""}, ""_participation_url"": ""https://app.deliberation.io/participate/a1fc1e1a-ac77-4717-b905-ddf177aa6b54?PROLIFIC_PID=68890c84a7ce5cd6b451f6aa&STUDY_ID=68b600cd2d81234290cb0842&SESSION_ID=68b6d5acc37605abf21c9970"", ""_random_condition_results"": {}, ""_randomized_module_orders"": {}, ""ae448238-cfa7-43f4-8809-6b36c5880c40"": ""I think it\u2019s ridiculous. The only thing that is nice is the cameras being upgraded. It would be much more beneficial if they waited 2.5 years or 3 years for a big update.""}"
